"rank2016","rank2020"
"Trafalgar Group","SurveyMonkey"
"SurveyUSA","Emerson College"
"Public Policy Polling","Ipsos"
"Zia Poll","Public Policy Polling"
"Opinion Savvy/InsiderAdvantage","Y2 Analytics"
"Remington Research Group","SoonerPoll.com"
"Landmark Communications","Nielson Brothers Polling"
"Monmouth University","Marist College"
"Ipsos","Florida Atlantic University"
"Rasmussen Reports/Pulse Opinion Research","University of New Hampshire"
"rank2016","rank2020"
"Glengariff Group","EPIC-MRA"
"Y2 Analytics","MassINC Polling Group"
"EPIC-MRA","Suffolk University"
"MassINC Polling Group","Public Policy Institute of California"
"University of New Orleans","Selzer & Co."
"University of North Florida","SurveyUSA"
"Starboard Communications","Quinnipiac University"
"Muhlenberg College","Data Orbital"
"University of New Hampshire","Glengariff Group"
"Mitchell Research & Communications","Victory Research"
