"state","year","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep","real_dem","real_rep","candidate","logp","id","week","row_id","Abbrev"
"Alabama","2016","2016-11-08","2016-11-01","2016-11-07",2016-11-04,"Google Consumer Surveys",485,20.23,60.67,34.4,62.1,"D",-0.530889913199698,1,1,1,"AL"
"Alabama","2016","2016-11-08","2016-11-01","2016-11-07",2016-11-04,"SurveyMonkey",1131,36,55,34.4,62.1,"D",0.0454623740767574,2,1,2,"AL"
"Alabama","2016","2016-11-08","2016-10-24","2016-11-06",2016-10-30,"Ipsos",328,38.06,54.15,34.4,62.1,"D",0.101107297488651,3,2,3,"AL"
"Alaska","2016","2016-11-08","2016-11-01","2016-11-07",2016-11-04,"Google Consumer Surveys",97,23.23,47.41,36.6,51.3,"D",-0.454603693625003,4,1,4,"AK"
"Alaska","2016","2016-11-08","2016-10-11","2016-10-13",2016-10-12,"Lake Research Partners",500,36,37,36.6,51.3,"D",-0.0165293019512106,5,4,5,"AK"
"Alaska","2016","2016-11-08","2016-11-01","2016-11-07",2016-11-04,"SurveyMonkey",409,31,48,36.6,51.3,"D",-0.166061035922174,6,1,6,"AK"
"Alaska","2016","2016-11-08","2016-10-21","2016-10-26",2016-10-23,"Craciun Research Group",400,47,43,36.6,51.3,"D",0.250099361302738,7,3,7,"AK"
"Alaska","2016","2016-11-08","2016-11-03","2016-11-06",2016-11-04,"Gravis Marketing",617,41,44,36.6,51.3,"D",0.113523826296987,8,1,8,"AK"
"Arizona","2016","2016-11-08","2016-10-10","2016-10-15",2016-10-12,"Arizona State University",713,43.4,37.8,45.1,48.7,"D",-0.0384228054022735,9,4,9,"AZ"
"Arizona","2016","2016-11-08","2016-11-01","2016-11-07",2016-11-04,"Google Consumer Surveys",696,40.95,35.97,45.1,48.7,"D",-0.0965304362095541,10,1,10,"AZ"
"Arizona","2016","2016-11-08","2016-11-04","2016-11-06",2016-11-05,"Data Orbital",550,44,47,45.1,48.7,"D",-0.0246926125903715,11,1,11,"AZ"
"Arizona","2016","2016-11-08","2016-10-14","2016-10-14",2016-10-14,"HighGround Inc.",400,38.5,36.5,45.1,48.7,"D",-0.158224005214894,12,4,12,"AZ"
"Arizona","2016","2016-11-08","2016-10-24","2016-11-06",2016-10-30,"Ipsos",593,42.38,47.1,45.1,48.7,"D",-0.0622056936684796,13,2,13,"AZ"
"Arizona","2016","2016-11-08","2016-11-01","2016-11-07",2016-11-04,"SurveyMonkey",2609,45,42,45.1,48.7,"D",-0.00221975673831289,14,1,14,"AZ"
"Arizona","2016","2016-11-08","2016-10-21","2016-10-24",2016-10-22,"Monmouth University",401,45,46,45.1,48.7,"D",-0.00221975673831289,15,3,15,"AZ"
"Arizona","2016","2016-11-08","2016-10-29","2016-10-31",2016-10-30,"Saguaro Strategies",2229,45,44,45.1,48.7,"D",-0.00221975673831289,16,2,16,"AZ"
