"state","year","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep","real_dem","real_rep","candidate","logp","id","row_id","Abbrev","week"
"Vermont","2016","2016-11-08","2016-09-29","2016-10-14",2016-10-06,"Castleton University",579,45,17,56.7,30.3,"D",-0.231111720963387,1,1,"VT",5
"South Dakota","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",103,32.76,49.64,31.7,61.5,"D",0.0328915781016337,2,2,"SD",5
"Kansas","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",349,37.87,50.29,36.1,56.7,"D",0.0478663765748682,3,3,"KS",5
"Louisiana","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",459,35.5,51.46,38.5,58.1,"D",-0.0811255448123685,4,4,"LA",5
"Alabama","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",482,38.4,52.39,34.4,62.1,"D",0.110000895214328,5,5,"AL",5
"South Carolina","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",304,43.67,50.89,40.7,54.9,"D",0.0704332750489202,6,6,"SC",5
"Montana","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",109,31.74,50.8,35.8,56.2,"D",-0.120370178308392,7,7,"MT",5
"Nevada","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",292,47.68,43.43,47.9,45.5,"D",-0.00460348165977519,8,8,"NV",5
"Arkansas","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",283,34.43,52.7,33.7,60.6,"D",0.0214304399921164,9,9,"AR",5
"Iowa","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",363,45.62,42.61,41.7,51.2,"D",0.0898450880514861,10,10,"IA",5
"Delaware","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",121,47.83,33.89,53.1,41.7,"D",-0.104523870555688,11,11,"DE",5
"Oklahoma","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",381,36.08,51.27,28.9,65.3,"D",0.221897100076036,12,12,"OK",5
"New Hampshire","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",179,45.11,39.21,47,46.6,"D",-0.041043650289754,13,13,"NH",5
"New Mexico","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",150,51.28,35.11,48.3,40,"D",0.0598692519538877,14,14,"NM",5
"Connecticut","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",437,52.56,34.83,54.6,40.9,"D",-0.0380785085745043,15,15,"CT",5
"Idaho","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",171,35.13,50.7,27.5,59.3,"D",0.24486946160521,16,16,"ID",5
"Mississippi","2016","2016-11-08","2016-09-30","2016-10-20",2016-10-10,"Ipsos",171,37.3,52.08,40.1,57.9,"D",-0.0723830076627537,17,17,"MS",5
