"state","year","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep","real_dem","real_rep","candidate","logp","id","week","row_id","Abbrev"
"Alabama",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"Google Consumer Surveys",485,20.23,60.67,34.4,62.1,"D",-0.530889913199698,1,0,1,"AL"
"Alabama",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"Google Consumer Surveys",485,20.23,60.67,34.4,62.1,"R",-0.0232966469852266,1,0,2,"AL"
"Alabama",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"SurveyMonkey",1131,36,55,34.4,62.1,"D",0.0454623740767574,2,0,3,"AL"
"Alabama",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"SurveyMonkey",1131,36,55,34.4,62.1,"R",-0.121412803706962,2,0,4,"AL"
"Alabama",2016,2016-11-08,2016-10-24,2016-11-06,2016-10-30,"Ipsos",328,38.06,54.15,34.4,62.1,"D",0.101107297488651,3,-1,5,"AL"
"Alabama",2016,2016-11-08,2016-10-24,2016-11-06,2016-10-30,"Ipsos",328,38.06,54.15,34.4,62.1,"R",-0.136988015492433,3,-1,6,"AL"
"Alaska",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"Google Consumer Surveys",97,23.23,47.41,36.6,51.3,"D",-0.454603693625003,4,0,7,"AK"
"Alaska",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"Google Consumer Surveys",97,23.23,47.41,36.6,51.3,"R",-0.0788575752626969,4,0,8,"AK"
"Alaska",2016,2016-11-08,2016-10-11,2016-10-13,2016-10-12,"Lake Research Partners",500,36,37,36.6,51.3,"D",-0.0165293019512106,5,-3,9,"AK"
"Alaska",2016,2016-11-08,2016-10-11,2016-10-13,2016-10-12,"Lake Research Partners",500,36,37,36.6,51.3,"R",-0.326772839532499,5,-3,10,"AK"
"Alaska",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"SurveyMonkey",409,31,48,36.6,51.3,"D",-0.166061035922174,6,0,11,"AK"
"Alaska",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"SurveyMonkey",409,31,48,36.6,51.3,"R",-0.0664897412688329,6,0,12,"AK"
"Alaska",2016,2016-11-08,2016-10-21,2016-10-26,2016-10-23,"Craciun Research Group",400,47,43,36.6,51.3,"D",0.250099361302738,7,-2,13,"AK"
"Alaska",2016,2016-11-08,2016-10-21,2016-10-26,2016-10-23,"Craciun Research Group",400,47,43,36.6,51.3,"R",-0.176490636483161,7,-2,14,"AK"
"Alaska",2016,2016-11-08,2016-11-03,2016-11-06,2016-11-04,"Gravis Marketing",617,41,44,36.6,51.3,"D",0.113523826296987,8,0,15,"AK"
"Alaska",2016,2016-11-08,2016-11-03,2016-11-06,2016-11-04,"Gravis Marketing",617,41,44,36.6,51.3,"R",-0.153501118258463,8,0,16,"AK"
"Arizona",2016,2016-11-08,2016-10-10,2016-10-15,2016-10-12,"Arizona State University",713,43.4,37.8,45.1,48.7,"D",-0.0384228054022735,9,-3,17,"AZ"
"Arizona",2016,2016-11-08,2016-10-10,2016-10-15,2016-10-12,"Arizona State University",713,43.4,37.8,45.1,48.7,"R",-0.253369927463002,9,-3,18,"AZ"
"Arizona",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"Google Consumer Surveys",696,40.95,35.97,45.1,48.7,"D",-0.0965304362095541,10,0,19,"AZ"
"Arizona",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"Google Consumer Surveys",696,40.95,35.97,45.1,48.7,"R",-0.302993772381012,10,0,20,"AZ"
"Arizona",2016,2016-11-08,2016-11-04,2016-11-06,2016-11-05,"Data Orbital",550,44,47,45.1,48.7,"D",-0.0246926125903715,11,0,21,"AZ"
"Arizona",2016,2016-11-08,2016-11-04,2016-11-06,2016-11-05,"Data Orbital",550,44,47,45.1,48.7,"R",-0.0355314283784855,11,0,22,"AZ"
"Arizona",2016,2016-11-08,2016-10-14,2016-10-14,2016-10-14,"HighGround Inc.",400,38.5,36.5,45.1,48.7,"D",-0.158224005214894,12,-3,23,"AZ"
"Arizona",2016,2016-11-08,2016-10-14,2016-10-14,2016-10-14,"HighGround Inc.",400,38.5,36.5,45.1,48.7,"R",-0.288366769500098,12,-3,24,"AZ"
"Arizona",2016,2016-11-08,2016-10-24,2016-11-06,2016-10-30,"Ipsos",593,42.38,47.1,45.1,48.7,"D",-0.0622056936684796,13,-1,25,"AZ"
"Arizona",2016,2016-11-08,2016-10-24,2016-11-06,2016-10-30,"Ipsos",593,42.38,47.1,45.1,48.7,"R",-0.0334060290661721,13,-1,26,"AZ"
"Arizona",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"SurveyMonkey",2609,45,42,45.1,48.7,"D",-0.00221975673831289,14,0,27,"AZ"
"Arizona",2016,2016-11-08,2016-11-01,2016-11-07,2016-11-04,"SurveyMonkey",2609,45,42,45.1,48.7,"R",-0.148009411805176,14,0,28,"AZ"
"Arizona",2016,2016-11-08,2016-10-21,2016-10-24,2016-10-22,"Monmouth University",401,45,46,45.1,48.7,"D",-0.00221975673831289,15,-2,29,"AZ"
"Arizona",2016,2016-11-08,2016-10-21,2016-10-24,2016-10-22,"Monmouth University",401,45,46,45.1,48.7,"R",-0.0570376335994492,15,-2,30,"AZ"
"Arizona",2016,2016-11-08,2016-10-29,2016-10-31,2016-10-30,"Saguaro Strategies",2229,45,44,45.1,48.7,"D",-0.00221975673831289,16,-1,31,"AZ"
"Arizona",2016,2016-11-08,2016-10-29,2016-10-31,2016-10-30,"Saguaro Strategies",2229,45,44,45.1,48.7,"R",-0.101489396170283,16,-1,32,"AZ"
"Arizona",2016,2016-11-08,2016-10-26,2016-10-28,2016-10-27,"YouGov",994,42,44,45.1,48.7,"D",-0.0712126282252643,17,-1,33,"AZ"
"Arizona",2016,2016-11-08,2016-10-26,2016-10-28,2016-10-27,"YouGov",994,42,44,45.1,48.7,"R",-0.101489396170283,17,-1,34,"AZ"
"Arizona",2016,2016-11-08,2016-10-27,2016-11-01,2016-10-29,"CNN/Opinion Research Corp.",769,44,49,45.1,48.7,"D",-0.0246926125903715,18,-1,35,"AZ"
"Arizona",2016,2016-11-08,2016-10-27,2016-11-01,2016-10-29,"CNN/Opinion Research Corp.",769,44,49,45.1,48.7,"R",0.00614126802208243,18,-1,36,"AZ"
"Arizona",2016,2016-11-08,2016-10-28,2016-11-01,2016-10-30,"The Times-Picayune/Lucid",1113,41,42,45.1,48.7,"D",-0.0953101798043249,19,-1,37,"AZ"
"Arizona",2016,2016-11-08,2016-10-28,2016-11-01,2016-10-30,"The Times-Picayune/Lucid",1113,41,42,45.1,48.7,"R",-0.148009411805176,19,-1,38,"AZ"
"Arizona",2016,2016-11-08,2016-10-28,2016-10-31,2016-10-29,"Emerson College",700,43,47,45.1,48.7,"D",-0.0476821308150703,20,-1,39,"AZ"
