"state","year","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep","real_dem","real_rep","candidate","logp","id","week","row_id","Abbrev"
"Vermont",2016,2016-11-08,2016-09-29,2016-10-14,2016-10-06,"Castleton University",579,45,17,56.7,30.3,"D",-0.231111720963387,1,-4,1,"VT"
"Vermont",2016,2016-11-08,2016-09-29,2016-10-14,2016-10-06,"Castleton University",579,45,17,56.7,30.3,"R",-0.577934368459107,1,-4,2,"VT"
"South Dakota",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",103,32.76,49.64,31.7,61.5,"D",0.0328915781016337,2,-4,3,"SD"
"South Dakota",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",103,32.76,49.64,31.7,61.5,"R",-0.214240214476066,2,-4,4,"SD"
"Kansas",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",349,37.87,50.29,36.1,56.7,"D",0.0478663765748682,3,-4,5,"KS"
"Kansas",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",349,37.87,50.29,36.1,56.7,"R",-0.119967960549833,3,-4,6,"KS"
"Louisiana",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",459,35.5,51.46,38.5,58.1,"D",-0.0811255448123685,4,-4,7,"LA"
"Louisiana",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",459,35.5,51.46,38.5,58.1,"R",-0.121360857004267,4,-4,8,"LA"
"Alabama",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",482,38.4,52.39,34.4,62.1,"D",0.110000895214328,5,-4,9,"AL"
"Alabama",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",482,38.4,52.39,34.4,62.1,"R",-0.170030255519305,5,-4,10,"AL"
"South Carolina",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",304,43.67,50.89,40.7,54.9,"D",0.0704332750489202,6,-4,11,"SC"
"South Carolina",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",304,43.67,50.89,40.7,54.9,"R",-0.0758469079147436,6,-4,12,"SC"
"Montana",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",109,31.74,50.8,35.8,56.2,"D",-0.120370178308392,7,-4,13,"MT"
"Montana",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",109,31.74,50.8,35.8,56.2,"R",-0.101020402315209,7,-4,14,"MT"
"Nevada",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",292,47.68,43.43,47.9,45.5,"D",-0.00460348165977519,8,-4,15,"NV"
"Nevada",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",292,47.68,43.43,47.9,45.5,"R",-0.0465618794101742,8,-4,16,"NV"
"Arkansas",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",283,34.43,52.7,33.7,60.6,"D",0.0214304399921164,9,-4,17,"AR"
"Arkansas",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",283,34.43,52.7,33.7,60.6,"R",-0.139679437527952,9,-4,18,"AR"
"Iowa",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",363,45.62,42.61,41.7,51.2,"D",0.0898450880514861,10,-4,19,"IA"
"Iowa",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",363,45.62,42.61,41.7,51.2,"R",-0.183650564533642,10,-4,20,"IA"
"Delaware",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",121,47.83,33.89,53.1,41.7,"D",-0.104523870555688,11,-4,21,"DE"
"Delaware",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",121,47.83,33.89,53.1,41.7,"R",-0.207381143185796,11,-4,22,"DE"
"Oklahoma",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",381,36.08,51.27,28.9,65.3,"D",0.221897100076036,12,-4,23,"OK"
"Oklahoma",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",381,36.08,51.27,28.9,65.3,"R",-0.241886250486776,12,-4,24,"OK"
"New Hampshire",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",179,45.11,39.21,47,46.6,"D",-0.041043650289754,13,-4,25,"NH"
"New Hampshire",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",179,45.11,39.21,47,46.6,"R",-0.17266872482736,13,-4,26,"NH"
"New Mexico",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",150,51.28,35.11,48.3,40,"D",0.0598692519538877,14,-4,27,"NM"
"New Mexico",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",150,51.28,35.11,48.3,40,"R",-0.130393463933595,14,-4,28,"NM"
"Connecticut",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",437,52.56,34.83,54.6,40.9,"D",-0.0380785085745043,15,-4,29,"CT"
"Connecticut",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",437,52.56,34.83,54.6,40.9,"R",-0.160650978670846,15,-4,30,"CT"
"Idaho",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",171,35.13,50.7,27.5,59.3,"D",0.24486946160521,16,-4,31,"ID"
"Idaho",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",171,35.13,50.7,27.5,59.3,"R",-0.156683395406542,16,-4,32,"ID"
"Mississippi",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",171,37.3,52.08,40.1,57.9,"D",-0.0723830076627537,17,-4,33,"MS"
"Mississippi",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",171,37.3,52.08,40.1,57.9,"R",-0.105936386678636,17,-4,34,"MS"
"Missouri",2016,2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",433,36.11,48.21,38.1,56.8,"D",-0.053644446843289,18,-4,35,"MO"
"Missouri",2016,2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",433,36.11,48.21,38.1,56.8,"R",-0.163969857309575,18,-4,36,"MO"
"Nebraska",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",207,34.73,46.81,33.7,58.7,"D",0.0301060293976664,19,-4,37,"NE"
"Nebraska",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",207,34.73,46.81,33.7,58.7,"R",-0.226342871522072,19,-4,38,"NE"
"Maine",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",202,47.76,38.69,47.8,44.9,"D",-0.000837170413063659,20,-4,39,"ME"
"Maine",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",202,47.76,38.69,47.8,44.9,"R",-0.148856626035787,20,-4,40,"ME"
"Maryland",2016,2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",487,53.72,31.56,60.3,33.9,"D",-0.115546732078103,21,-4,41,"MD"
"Maryland",2016,2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",487,53.72,31.56,60.3,33.9,"R",-0.0715245184087311,21,-4,42,"MD"
"Kentucky",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",458,41.04,51.6,32.7,62.5,"D",0.227172122959306,22,-4,43,"KY"
"Kentucky",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",458,41.04,51.6,32.7,62.5,"R",-0.191644884254839,22,-4,44,"KY"
"Oregon",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",644,46.28,37.24,50.1,39.1,"D",-0.0793111057653433,23,-4,45,"OR"
"Oregon",2016,2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",644,46.28,37.24,50.1,39.1,"R",-0.0487390145824538,23,-4,46,"OR"
"Tennessee",2016,2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",541,34.58,47.28,34.7,60.7,"D",-0.00346420669766924,24,-4,47,"TN"
"Tennessee",2016,2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",541,34.58,47.28,34.7,60.7,"R",-0.24985632496761,24,-4,48,"TN"
