"year","state","election_date","start_date","end_date","poll_date","pollster","sample_size","poll_dem","poll_rep"
2016,"Vermont",2016-11-08,2016-09-29,2016-10-14,2016-10-06,"Castleton University",579,45,17
2016,"South Dakota",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",103,32.76,49.64
2016,"Kansas",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",349,37.87,50.29
2016,"Louisiana",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",459,35.5,51.46
2016,"Alabama",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",482,38.4,52.39
2016,"South Carolina",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",304,43.67,50.89
2016,"Montana",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",109,31.74,50.8
2016,"Nevada",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",292,47.68,43.43
2016,"Arkansas",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",283,34.43,52.7
2016,"Iowa",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",363,45.62,42.61
2016,"Delaware",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",121,47.83,33.89
2016,"Oklahoma",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",381,36.08,51.27
2016,"New Hampshire",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",179,45.11,39.21
2016,"New Mexico",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",150,51.28,35.11
2016,"Connecticut",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",437,52.56,34.83
2016,"Idaho",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",171,35.13,50.7
2016,"Mississippi",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",171,37.3,52.08
2016,"Missouri",2016-11-08,2016-09-30,2016-10-13,2016-10-06,"Ipsos",433,36.11,48.21
2016,"Nebraska",2016-11-08,2016-09-30,2016-10-20,2016-10-10,"Ipsos",207,34.73,46.81
