"year","state","election_date","start_date","end_date","sample_size","poll_date","pollster","poll_dem","poll_rep"
2020,"Alabama",2020-11-03,2020-10-27,2020-11-01,1045,2020-10-29,"Data for Progress",38,58
2020,"Alabama",2020-11-03,2020-10-27,2020-11-01,330,2020-10-29,"Swayable",37.8,55
2020,"Alabama",2020-11-03,2020-10-20,2020-11-01,1608,2020-10-26,"SurveyMonkey",39,58
2020,"Alabama",2020-11-03,2020-10-20,2020-11-01,1608,2020-10-26,"SurveyMonkey",36,62
2020,"Alabama",2020-11-03,2020-10-18,2020-10-31,1714,2020-10-24,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-10-18,2020-10-31,1714,2020-10-24,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-10-17,2020-10-30,1752,2020-10-23,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-10-17,2020-10-30,1752,2020-10-23,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-10-16,2020-10-29,1786,2020-10-22,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-10-16,2020-10-29,1786,2020-10-22,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-10-23,2020-10-28,853,2020-10-25,"Auburn University at Montgomery",38.9,58.1
2020,"Alabama",2020-11-03,2020-10-23,2020-10-26,266,2020-10-24,"Swayable",37.2,55.8
2020,"Alabama",2020-11-03,2020-10-11,2020-10-14,504,2020-10-12,"Moore Information",38,55
2020,"Alaska",2020-11-03,2020-10-20,2020-11-01,537,2020-10-26,"SurveyMonkey",45,53
2020,"Alaska",2020-11-03,2020-10-20,2020-11-01,537,2020-10-26,"SurveyMonkey",46,53
2020,"Alaska",2020-11-03,2020-10-18,2020-10-31,614,2020-10-24,"SurveyMonkey",45,54
2020,"Alaska",2020-11-03,2020-10-18,2020-10-31,614,2020-10-24,"SurveyMonkey",45,54
2020,"Alaska",2020-11-03,2020-10-17,2020-10-30,638,2020-10-23,"SurveyMonkey",45,53
2020,"Alaska",2020-11-03,2020-10-17,2020-10-30,638,2020-10-23,"SurveyMonkey",45,53
2020,"Alaska",2020-11-03,2020-10-16,2020-10-29,663,2020-10-22,"SurveyMonkey",43,54
2020,"Alaska",2020-11-03,2020-10-16,2020-10-29,663,2020-10-22,"SurveyMonkey",43,55
2020,"Alaska",2020-11-03,2020-10-26,2020-10-28,770,2020-10-27,"Gravis Marketing",43,52
2020,"Alaska",2020-11-03,2020-10-19,2020-10-20,800,2020-10-19,"Public Policy Polling",45,50
2020,"Alaska",2020-11-03,2020-10-09,2020-10-14,423,2020-10-11,"Siena College/The New York Times Upshot",39,45
2020,"Arizona",2020-11-03,2020-10-27,2020-11-02,610,2020-10-30,"Ipsos",50,48
2020,"Arizona",2020-11-03,2020-10-27,2020-11-02,610,2020-10-30,"Ipsos",50,47
2020,"Arizona",2020-11-03,2020-10-29,2020-11-01,717,2020-10-30,"Marist College",48,48
2020,"Arizona",2020-11-03,2020-10-29,2020-11-01,988,2020-10-30,"Marist College",48,47
2020,"Arizona",2020-11-03,2020-10-29,2020-11-01,409,2020-10-30,"Change Research",50,47
2020,"Arizona",2020-11-03,2020-10-27,2020-11-01,1195,2020-10-29,"Data for Progress",50,47
2020,"Arizona",2020-11-03,2020-10-27,2020-11-01,360,2020-10-29,"Swayable",50.6,45.7
2020,"Arizona",2020-11-03,2020-10-20,2020-11-01,3807,2020-10-26,"SurveyMonkey",53,45
2020,"Arizona",2020-11-03,2020-10-20,2020-11-01,3807,2020-10-26,"SurveyMonkey",52,47
2020,"Arizona",2020-11-03,2020-10-30,2020-10-31,641,2020-10-30,"AtlasIntel",48.1,50.4
2020,"Arizona",2020-11-03,2020-10-29,2020-10-31,732,2020-10-30,"Emerson College",48,45.9
2020,"Arizona",2020-11-03,2020-10-22,2020-10-31,1059,2020-10-26,"Morning Consult",48.4,46.1
2020,"Arizona",2020-11-03,2020-10-18,2020-10-31,3933,2020-10-24,"SurveyMonkey",53,45
2020,"Arizona",2020-11-03,2020-10-18,2020-10-31,3933,2020-10-24,"SurveyMonkey",52,46
2020,"Arizona",2020-11-03,2020-10-28,2020-10-30,550,2020-10-29,"Data Orbital",45.9,45.3
2020,"Arizona",2020-11-03,2020-10-26,2020-10-30,1252,2020-10-28,"Siena College/The New York Times Upshot",49,43
2020,"Arizona",2020-11-03,2020-10-23,2020-10-30,865,2020-10-26,"SSRS",50,46
2020,"Arizona",2020-11-03,2020-10-23,2020-10-30,892,2020-10-26,"SSRS",49,46
2020,"Arizona",2020-11-03,2020-10-17,2020-10-30,3824,2020-10-23,"SurveyMonkey",53,45
2020,"Arizona",2020-11-03,2020-10-17,2020-10-30,3824,2020-10-23,"SurveyMonkey",52,46
