"year","state","election_date","start_date","end_date","sample_size","poll_date","pollster","poll_dem","poll_rep"
2020,"Alabama",2020-11-03,2020-10-27,2020-11-01,1045,2020-10-29,"Data for Progress",38,58
2020,"Alabama",2020-11-03,2020-10-27,2020-11-01,330,2020-10-29,"Swayable",37.8,55
2020,"Alabama",2020-11-03,2020-10-20,2020-11-01,1608,2020-10-26,"SurveyMonkey",39,58
2020,"Alabama",2020-11-03,2020-10-20,2020-11-01,1608,2020-10-26,"SurveyMonkey",36,62
2020,"Alabama",2020-11-03,2020-10-18,2020-10-31,1714,2020-10-24,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-10-18,2020-10-31,1714,2020-10-24,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-10-17,2020-10-30,1752,2020-10-23,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-10-17,2020-10-30,1752,2020-10-23,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-10-16,2020-10-29,1786,2020-10-22,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-10-16,2020-10-29,1786,2020-10-22,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-10-23,2020-10-28,853,2020-10-25,"Auburn University at Montgomery",38.9,58.1
2020,"Alabama",2020-11-03,2020-10-01,2020-10-28,3363,2020-10-14,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-10-01,2020-10-28,3363,2020-10-14,"SurveyMonkey",37,61
2020,"Alabama",2020-11-03,2020-09-30,2020-10-27,3255,2020-10-13,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-09-30,2020-10-27,3255,2020-10-13,"SurveyMonkey",37,61
2020,"Alabama",2020-11-03,2020-10-23,2020-10-26,266,2020-10-24,"Swayable",37.2,55.8
2020,"Alabama",2020-11-03,2020-09-27,2020-10-25,3122,2020-10-11,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-09-27,2020-10-25,3122,2020-10-11,"SurveyMonkey",38,61
2020,"Alabama",2020-11-03,2020-09-27,2020-10-24,3120,2020-10-10,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-09-27,2020-10-24,3120,2020-10-10,"SurveyMonkey",38,61
2020,"Alabama",2020-11-03,2020-09-26,2020-10-23,3093,2020-10-09,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-09-26,2020-10-23,3093,2020-10-09,"SurveyMonkey",38,61
2020,"Alabama",2020-11-03,2020-09-25,2020-10-22,3038,2020-10-08,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-09-25,2020-10-22,3038,2020-10-08,"SurveyMonkey",38,61
2020,"Alabama",2020-11-03,2020-09-24,2020-10-21,2985,2020-10-07,"SurveyMonkey",41,57
2020,"Alabama",2020-11-03,2020-09-24,2020-10-21,2985,2020-10-07,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-09-23,2020-10-20,2890,2020-10-06,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-09-23,2020-10-20,2890,2020-10-06,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-09-21,2020-10-19,2781,2020-10-05,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-09-21,2020-10-19,2781,2020-10-05,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-09-21,2020-10-18,2710,2020-10-04,"SurveyMonkey",41,56
2020,"Alabama",2020-11-03,2020-09-21,2020-10-18,2710,2020-10-04,"SurveyMonkey",38,60
2020,"Alabama",2020-11-03,2020-09-20,2020-10-17,2675,2020-10-03,"SurveyMonkey",42,56
2020,"Alabama",2020-11-03,2020-09-20,2020-10-17,2675,2020-10-03,"SurveyMonkey",39,59
2020,"Alabama",2020-11-03,2020-09-18,2020-10-16,2591,2020-10-02,"SurveyMonkey",42,56
2020,"Alabama",2020-11-03,2020-09-18,2020-10-16,2591,2020-10-02,"SurveyMonkey",39,59
2020,"Alabama",2020-11-03,2020-09-18,2020-10-15,2449,2020-10-01,"SurveyMonkey",42,55
2020,"Alabama",2020-11-03,2020-09-18,2020-10-15,2449,2020-10-01,"SurveyMonkey",39,59
2020,"Alabama",2020-11-03,2020-10-11,2020-10-14,504,2020-10-12,"Moore Information",38,55
2020,"Alabama",2020-11-03,2020-09-17,2020-10-14,2265,2020-09-30,"SurveyMonkey",42,55
2020,"Alabama",2020-11-03,2020-09-17,2020-10-14,2265,2020-09-30,"SurveyMonkey",39,59
2020,"Alabama",2020-11-03,2020-09-30,2020-10-03,1072,2020-10-01,"Auburn University at Montgomery",37.2,56.8
2020,"Alaska",2020-11-03,2020-10-20,2020-11-01,537,2020-10-26,"SurveyMonkey",45,53
