state,ratio_dem,ratio_rep,EV,Abbrev
Alabama,36.6,62,9,AL
Alaska,42.8,52.8,3,AK
Arizona,49.4,49.1,11,AZ
Arkansas,34.8,62.4,6,AR
California,63.5,34.3,55,CA
Colorado,55.4,41.9,9,CO
Connecticut,59.2,39.2,7,CT
Delaware,58.7,39.8,3,DE
District of Columbia,92.1,5.4,3,DC
Florida,47.9,51.2,29,FL
Georgia,49.5,49.3,16,GA
Hawaii,63.7,34.3,4,HI
Idaho,33.1,63.9,4,ID
Illinois,57.5,40.6,20,IL
Indiana,41,57,11,IN
Iowa,44.9,53.1,6,IA
Kansas,41.6,56.2,6,KS
Kentucky,36.2,62.1,8,KY
Louisiana,39.9,58.5,8,LA
Maine,53.1,44,2,ME
Maryland,65.4,32.2,10,MD
Massachusetts,65.6,32.1,11,MA
Michigan,50.6,47.8,16,MI
Minnesota,52.4,45.3,10,MN
Mississippi,41.1,57.6,6,MS
Missouri,41.4,56.8,10,MO
Montana,40.5,56.9,3,MT
Nebraska,39.4,58.5,2,NE
Nevada,50.1,47.7,6,NV
New Hampshire,52.7,45.4,4,NH
New Jersey,57.3,41.4,14,NJ
New Mexico,54.3,43.5,5,NM
New York,60.9,37.7,29,NY
North Carolina,48.6,49.9,15,NC
North Dakota,31.8,65.1,3,ND
Ohio,45.2,53.3,18,OH
Oklahoma,32.3,65.4,7,OK
Oregon,56.5,40.4,7,OR
Pennsylvania,50,48.8,20,PA
Rhode Island,59.4,38.6,4,RI
South Carolina,43.4,55.1,9,SC
South Dakota,35.6,61.8,3,SD
Tennessee,37.5,60.7,11,TN
Texas,46.5,52.1,38,TX
Utah,37.6,58.1,6,UT
Vermont,66.1,30.7,3,VT
Virginia,54.1,44,13,VA
Washington,58,38.8,12,WA
West Virginia,29.7,68.6,5,WV
Wisconsin,49.4,48.8,10,WI
Wyoming,26.6,69.9,3,WY
