Pollster,PPM,538 Grade,ADPA
Monmouth University,-1.565886933,A+,5.154558228
Selzer & Co.,-1.326441912,A+,5.197137176
ABC News/The Washington Post,-1.285369188,A+,3.756498299
Siena College/The New York Times Upshot,-1.100981247,A+,4.399017569
Field Research Corp. (Field Poll),-1.093440156,A/B,4.701967916
Marquette University Law School,-1.028224062,A/B,4.886728784
Muhlenberg College,-1.000678469,A+,3.859959639
Marist College,-0.951034257,A+,5.200629365
Data Orbital,-0.856292308,A/B,3.674017394
National Journal,-0.823593859,A/B,3.458477706
Stockton University,-0.787568241,A/B,6.075825607
SurveyUSA,-0.777540027,A,5.048721989
Ciruli Associates,-0.766377304,A/B,5.318166695
MassINC Polling Group,-0.742805098,A/B,6.41750571
Fairleigh Dickinson University (PublicMind),-0.721823952,A/B,4.502543312
CBS News/The New York Times,-0.721595994,A,4.072954257
Grove Insight,-0.680411123,A/B,3.786502715
Behavior Research Center (Rocky Mountain Poll),-0.663588524,A/B,8.067144127
Western New England University,-0.647715237,A/B,2.621142528
Suffolk University,-0.639227828,A,5.702625535
IBD/TIPP,-0.625832185,A/B,3.423017668
Los Angeles Times,-0.614309586,A/B,5.1478744
Michigan State University,-0.588164766,A/B,
University of Connecticut,-0.563007519,A/B,8
University of Cincinnati (Ohio Poll),-0.561151282,A/B,3.363197853
Temple University,-0.555271906,A/B,3.726577508
Fox News/Beacon Research/Shaw & Co. Research,-0.534746899,A-,4.80547885
Castleton University,-0.508757785,A/B,
KRC/Communications Research,-0.491643299,A/B,6.499784634
Wirthlin Worldwide,-0.488024018,A/B,5.251780871
Indiana University,-0.486974778,A/B,
Siena College,-0.481888871,A-,4.66817681
Louis Harris & Associates,-0.46971469,A/B,5.497869162
Market Strategies International,-0.456740615,A/B,3.6
NBC News/The Wall Street Journal,-0.415981831,A-,3.122051679
University of Florida,-0.415208049,A/B,1.357142857
Gordon S. Black Corp.,-0.414281965,A/B,6
Fox News/Opinion Dynamics Corp.,-0.395389552,A/B,4.081016206
Yankelovich Partners Inc.,-0.382813934,A/B,4.329685524
Emerson College,-0.381742711,A-,5.18806941
Harvard University,-0.377496394,A/B,2
Public Policy Institute of California,-0.349752699,A/B,
University of Illinois at Chicago,-0.347340356,A/B,
Abt Associates,-0.342748626,A/B,4.000103155
Winthrop University,-0.330103643,A/B,3.625
RKM Research and Communications Inc.,-0.31606872,A-,4.471989743
Georgetown University (Battleground),-0.291770962,A/B,3.26285375
Princeton Survey Research Associates International,-0.289041373,A/B,4.740748721
Market Shares Corp.,-0.288804617,A/B,4.604198448
Mason-Dixon Polling & Strategy,-0.275359493,B+,5.146401979
CNN/Opinion Research Corp.,-0.244775581,B+,4.954125581
Research & Polling Inc.,-0.224313217,B+,3.165692251
Quinnipiac University,-0.216543041,B+,5.235553827
EPIC-MRA,-0.171516141,B+,5.261085754
Elway Research,-0.164927848,A/B,4.172021295
St. Norbert College,-0.151133477,A/B,5.274291885
University of North Florida,-0.124940054,A/B,4.045241978
Elon University,-0.124328095,A/B,3.561440432
National Research Inc.,-0.107691255,A/B,5.944763301
Blum & Weprin Associates,-0.086231689,A/B,4.607686701
Public Religion Research Institute,-0.071627994,A/B,2
Middle Tennessee State University,-0.070893995,A/B,4.5
Fleming & Associates,-0.064972502,A/B,3.663863638
University of Massachusetts Lowell,-0.061268376,A/B,5.465612971
Cygnal,-0.060992399,A/B,3.529117359
Angus Reid Global,-0.040998163,B+,3.054574384
Public Opinion Strategies,-0.026793557,B+,4.300600509
Strategic Vision LLC,-0.016687885,F,4.358699532
"North Star Opinion Research/Ayres, McHenry & Associates",-0.010487836,A/B,4.414213562
American Viewpoint,0.004970001,B/C,6.252438155
Landmark Communications,0.01193945,B,4.461505917
Ward Research (Honolulu Star-Advertiser),0.016583577,B/C,3.857677039
University of Arkansas,0.017883476,B/C,6.9375
Harstad Strategic Research Inc.,0.021052086,B/C,5.108084856
RT Strategies,0.070848295,B/C,8.5993377
Harper Polling,0.079168709,B/C,5.307828059
University of South Alabama,0.094355037,B/C,7.182607846
Public Policy Polling,0.097090745,B,4.747617398
GQR Research (GQRR),0.098661132,B,4.078248862
University of Wisconsin (Badger Poll),0.100062867,B/C,4.014331224
Gallup,0.103173819,B,4.115287717
Rutgers University,0.118837174,B/C,6.118569369
Pharos Research Group,0.130137361,F,4.085086782
Keating Research,0.145837387,B/C,3.712516732
American Research Group,0.155483849,B,6.887701221
Montana State University Billings,0.162385243,B/C,
Greenberg Quinlan Rosner/American Viewpoint,0.163499264,B/C,5.405572548
Financial Dynamics,0.172183942,B/C,2.39341843
University of Washington,0.186728119,B/C,4.785239052
Market Research Institute Inc.,0.187021537,B/C,5.071841119
Iowa State University,0.193638624,B/C,
McKeon & Associates,0.197845261,B/C,12.75257481
Christopher Newport University,0.19883372,B/C,5.396342382
Tarrance Group,0.207307512,B/C,7.233178989
Victory Research,0.2175823,B/C,
SSRS,0.225683993,B/C,5.931306346
Orion Strategies,0.231995739,B/C,2.666666667
CJ&N,0.231995739,B/C,
Marshall Marketing & Communications,0.259988747,B/C,
YouGov,0.261400535,B,4.58258028
University of Massachusetts Amherst,0.265026719,B/C,7.665543245
Missouri State University,0.26608025,B/C,4.099998474
Northern Arizona University,0.272155193,B/C,6
Potomac Incorporated,0.275073649,B/C,4.517884821
Louisville Courier-Journal,0.278214073,B/C,5.348942075
Ethridge & Associates LLC,0.279314069,B/C,3.068115215
APC Research,0.284748063,B/C,
Dittman Research,0.284995838,B/C,9.103851404
Franklin & Marshall College,0.289417481,B/C,5.713587878
SEA Polling & Strategic Design,0.296034289,B/C,3.49047059
Clemson University,0.302401472,B/C,15.95933295
Frederick Polls,0.314306209,B/C,10.5
University of New Hampshire,0.314404551,B-,5.637724559
Market Decisions,0.319993643,B/C,5.5
Park Street Strategies,0.320315789,B/C,4.616666635
Wiese Research Associates Inc.,0.321709849,B/C,
GBAO,0.322382155,B/C,
University of Wisconsin-Milwaukee,0.322577877,B/C,3.892857143
RBI Strategies & Research,0.324258263,B/C,5.13664655
Valley Research,0.326951485,B/C,2
Research Co.,0.327394399,B-,3.913187349
MSR Group,0.327785419,B/C,
Richard Day Research Inc.,0.330150214,B/C,5.530808907
Lake Research Partners,0.331509791,B/C,5.771619851
Southern Media & Opinion Research,0.334634365,B/C,
Mason Strategies,0.337032871,B/C,
Research 2000,0.337711247,F,4.645335445
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),0.340490977,B/C,
Personal Marketing Research,0.345458188,B/C,6.100505063
High Point University,0.346737769,B/C,6.039410563
Targeted Persuasion,0.351685778,B/C,
University of Houston,0.351685778,B/C,
Market Solutions Group,0.360590302,B/C,4.40151707
Moore Information,0.361269556,B/C,5.279157416
Merrill Poll,0.363974071,B/C,
Richmond Times-Dispatch,0.363999334,B/C,4.964109124
Mercyhurst University,0.364507178,B/C,
Odney,0.364507178,B/C,8
University of Tennessee,0.367153888,B/C,
"Fabrizio, Lee & Associates",0.369020812,B/C,
Frank N. Magid Associates Inc.,0.374141512,B/C,3.983770769
Winston Group,0.375061744,B/C,2.036893055
Gotham Research Group,0.375709017,B/C,6
Strategic Services,0.377591016,B/C,
RMS Research,0.382405755,B/C,4
Knowledge Networks,0.383715176,B/C,3.138353813
Lincoln Institute,0.38749733,B/C,
Midwest Survey and Research,0.388367886,B/C,
QEV Analytics,0.389888948,B/C,
Baruch College,0.392832314,B/C,9.150757595
Neighborhood Research and Media,0.393204735,B/C,8.444444444
Florida International University/Univision,0.394001092,B/C,
GfK Group,0.397416901,B/C,4.616712892
